Timestamp                       Thread     Type        Activity             PID    TTL  
2023-03-01 20:21:05.194072+0800 0x2b4001   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:21:05.508953+0800 0x2b3ff2   Default     0x0                  18434  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 20:21:05.689574+0800 0x2b4001   Default     0x2e77e0             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:21:05.729336+0800 0x2b4001   Default     0x2e77e0             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:40:05.216140+0800 0x2b3ff2   Default     0x0                  18434  0    eapolclient: [com.apple.eapol:Client] en0 STOP
2023-03-01 20:40:05.447602+0800 0x2b7658   Default     0x0                  18842  0    eapolclient: [com.apple.eapol:Client] en0 START uid 501 gid 20
2023-03-01 20:40:05.449505+0800 0x2b7658   Default     0x0                  18842  0    eapolclient: [com.apple.eapol:Client] en0: 802.1X User Mode
2023-03-01 20:40:05.609682+0800 0x2b6b85   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:40:05.638627+0800 0x2b6b85   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:40:05.641140+0800 0x2b6b85   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:40:05.644067+0800 0x2b6b85   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:40:05.656457+0800 0x2b6b85   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:40:05.660419+0800 0x2b6b85   Default     0x0                  483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
2023-03-01 20:40:05.975373+0800 0x2b7658   Default     0x0                  18842  0    eapolclient: [com.apple.eapol:Client] en0 EAP-PEAP: successfully authenticated
2023-03-01 20:40:06.182950+0800 0x2b7664   Default     0x2e77e3             483    0    rapportd: (EAP8021X) [com.apple.eapol:Framework] eapolcontroller_server_port failed, unknown error code
